,number,value,datetime_start,datetime_complete,duration,params_clf__gamma,params_clf__learning_rate,params_clf__max_delta_step,params_clf__max_depth,params_clf__min_child_weight,params_clf__n_estimators,params_clf__reg_alpha,params_clf__reg_lambda,params_clf__scale_pos_weight,state
95,95,0.9236889941948728,2024-08-31 04:30:56.820278,2024-08-31 04:43:23.239637,0 days 00:12:26.419359,0.09186407085181948,0.7307657832126288,14.032678013606285,18,5.788094115021829,150,2.2739040774084214,0.0017371846066105321,1.033213583907093,COMPLETE
96,96,0.9197685796308955,2024-08-31 04:43:23.240278,2024-08-31 04:57:56.213042,0 days 00:14:32.972764,0.0556853494331106,0.49485376666453873,19.456317472653698,20,2.735519930250051,100,5.828293868910682,0.0011927123819343828,1.7929569527782023,COMPLETE
97,97,0.8974164268767293,2024-08-31 04:57:56.213699,2024-08-31 05:08:19.098766,0 days 00:10:22.885067,0.02101677860352969,0.9020627688251904,13.069872788479383,22,7.7789318112753305,100,0.9261336800468019,0.002280781599436752,2.2394662779495196,COMPLETE
98,98,0.9286522935958765,2024-08-31 05:08:19.099415,2024-08-31 05:37:39.540867,0 days 00:29:20.441452,0.1216288888624145,0.15667515006191784,18.58498172638007,19,1.2826754093647463,150,3.863478732369028,0.33698038213319337,1.4157118977571344,COMPLETE
99,99,0.8702759276878119,2024-08-31 05:37:39.541540,2024-08-31 05:55:10.944245,0 days 00:17:31.402705,0.2626979825323801,0.052602572297262194,10.639134428244219,20,9.760841950096987,100,9.268390941633584,0.006482321787283205,3.132927217900113,COMPLETE
100,100,0.1521580548331664,2024-08-31 05:55:10.944910,2024-08-31 05:58:08.705268,0 days 00:02:57.760358,0.5479823779377829,5.224293834795198,17.08654919601074,21,1.9848214946212552,50,0.29958878473051037,0.003421789953232585,2.256458976286888,COMPLETE
101,101,0.40447359369981345,2024-08-31 05:58:08.705861,2024-08-31 06:04:35.075748,0 days 00:06:26.369887,0.4194664361484121,2.5221007747918893,18.78603285285705,21,4.428782190359328,100,12.463824738342035,0.004460290274980333,1.2955340650973028,COMPLETE
102,102,0.9344178748962318,2024-08-31 06:04:35.076357,2024-08-31 06:17:36.952298,0 days 00:13:01.875941,0.17365260886007433,0.3142045825998698,19.125378779644706,22,3.881074411677892,100,6.68408205084067,0.002473438737360954,1.0107258204555518,COMPLETE
103,103,0.8971509389877487,2024-08-31 06:17:36.952949,2024-08-31 06:22:46.951431,0 days 00:05:09.998482,0.12841590219098525,0.6147551853493316,18.107887724902316,5,3.6580887837313916,100,1.919477461488349,0.0027443558525133923,1.764656343495412,COMPLETE
104,104,0.8869498417167199,2024-08-31 06:22:46.952071,2024-08-31 06:32:07.466617,0 days 00:09:20.514546,0.16279956775115387,1.4960406061723965,19.483274272290764,22,5.0071895820211285,100,5.006292409355827,0.0018998022069576927,1.4094959278472112,COMPLETE
105,105,0.9035160726605124,2024-08-31 06:32:07.467241,2024-08-31 06:56:28.643070,0 days 00:24:21.175829,0.19526387204620996,0.42749911497662,11.665136213300432,23,1.5300866155477264,150,2.5707618241746277,0.0012805686072591353,7.618477366138958,COMPLETE
106,106,0.8743398850294719,2024-08-31 06:56:28.643827,2024-08-31 07:25:17.123392,0 days 00:28:48.479565,0.29497361265510613,0.029994614154269184,17.62281364999248,20,3.0472643469181655,100,14.611513938726922,0.005603235764543784,2.6876225303512706,COMPLETE
107,107,0.9352088450867098,2024-08-31 07:25:17.124075,2024-08-31 07:40:10.446312,0 days 00:14:53.322237,0.2289198568145913,0.22732830531842052,18.473939100339912,19,2.379511351037127,100,1.2619021020568548,3.847725505547217,1.0600700605753621,COMPLETE
108,108,0.9160545856330998,2024-08-31 07:40:10.446931,2024-08-31 08:08:53.512420,0 days 00:28:43.065489,0.6698964897803473,0.0828282474974105,16.322750682153053,19,2.2773291489977683,150,1.3188557240882715,5.092268670863431,1.9529594621084412,COMPLETE
109,109,0.9189503225418055,2024-08-31 08:08:53.513105,2024-08-31 08:19:27.535933,0 days 00:10:34.022828,0.24101373937218454,0.21584819914576822,18.430005572062004,10,2.5999788451572745,100,1.9414760387038672,2.2511075266842204,1.6743798925479207,COMPLETE
110,110,0.8623701283980835,2024-08-31 08:19:27.536583,2024-08-31 08:28:58.985807,0 days 00:09:31.449224,0.18023585865680858,0.33233529989463745,14.958951572343222,17,20.764664892076183,100,0.7447106249342443,0.007902478045912082,3.535011951102439,COMPLETE
111,111,0.929824893367685,2024-08-31 08:28:58.986464,2024-08-31 08:39:37.769991,0 days 00:10:38.783527,0.07940055368677307,0.7266008323836552,19.159632085706278,22,5.657001387637741,100,7.8832936627151895,1.0835276722860934,1.0304816364101574,COMPLETE
112,112,0.925487450241028,2024-08-31 08:39:37.770657,2024-08-31 08:54:23.010089,0 days 00:14:45.239432,0.102216720261846,0.12480044518953559,19.553536977214684,24,6.137640745859438,100,7.4221931180456915,6.144906202318122,1.0042960979748523,COMPLETE
113,113,0.9076491190080714,2024-08-31 08:54:23.010748,2024-08-31 09:09:04.195294,0 days 00:14:41.184546,0.14050208939545042,0.17078555117412725,15.65675479659866,22,7.574635509835664,100,3.6199476013588274,0.6304196561142784,2.284431536460577,COMPLETE
114,114,0.9215595874956649,2024-08-31 09:09:04.195944,2024-08-31 09:21:47.343998,0 days 00:12:43.148054,0.21874093716577184,0.28258535197920553,17.011628512334482,21,5.656978517106718,100,1.6422440589759593,3.6575254674636732,1.4320626678479018,COMPLETE
115,115,0.9162076361779813,2024-08-31 09:21:47.344694,2024-08-31 09:35:56.348655,0 days 00:14:09.003961,0.32947481127279743,0.5302006345687063,19.70763655356105,22,3.274052184464258,100,1.2554969763870638,19.799874095451404,1.8226722588370072,COMPLETE
116,116,0.8801478166987403,2024-08-31 09:35:56.349336,2024-08-31 09:50:39.028889,0 days 00:14:42.679553,0.07700311205316647,1.1287781713589804,17.965466859226687,23,5.281540355031049,150,0.9769467901496707,1.5536472111186912,16.313415147184486,COMPLETE
117,117,0.8331493817498062,2024-08-31 09:50:39.029586,2024-08-31 10:02:34.781416,0 days 00:11:55.751830,0.9584563140174897,0.4035344787756017,17.38068164013365,21,13.702143200010434,100,5.881447577705423,1.20528791047776,13.201504078823211,COMPLETE
118,118,0.8998871064453272,2024-08-31 10:02:34.782047,2024-08-31 10:33:23.365510,0 days 00:30:48.583463,0.4328085932716617,0.011909508897656686,19.23487632730642,23,7.217136656382175,100,4.6366513216618355,0.021887638891301107,2.9692403269987047,COMPLETE
119,119,0.8803220642581753,2024-08-31 10:33:23.366248,2024-08-31 11:05:57.657528,0 days 00:32:34.291280,0.4982933397663435,0.04512852199173364,18.54823768171842,20,3.7326754754692346,150,16.568792967239926,0.09230315629776709,2.4471507818186504,COMPLETE
120,120,0.9036359670931668,2024-08-31 11:05:57.658208,2024-08-31 11:28:16.653594,0 days 00:22:18.995386,0.1419921554064654,0.021279707690375193,13.652348924740146,18,9.765746502495269,150,3.3515528276812283,0.9503870110061442,1.3831586160000975,COMPLETE
121,121,0.9283544057935368,2024-08-31 11:28:16.654290,2024-08-31 11:38:48.584127,0 days 00:10:31.929837,0.04387462625080128,0.7828702916974691,19.135573900622617,20,3.992905851095364,100,8.865884772179575,0.0015908099732261727,1.0407689058734215,COMPLETE
122,122,0.9312278482572253,2024-08-31 11:38:48.584802,2024-08-31 11:49:10.411625,0 days 00:10:21.826823,0.06153075659125905,0.6620343983218052,19.09586995135151,21,4.303521561987748,100,10.963371537930087,0.002521711655250566,1.0174636385850588,COMPLETE
123,123,0.8949658757405285,2024-08-31 11:49:10.412328,2024-08-31 12:03:47.561032,0 days 00:14:37.148704,0.09790895221647054,0.2198186962574797,18.14125753493361,21,4.729814990298207,100,19.725605591906255,0.002457575191588666,1.9962860241058333,COMPLETE
124,124,0.9169571574610886,2024-08-31 12:03:47.561712,2024-08-31 12:14:11.977715,0 days 00:10:24.416003,0.28914984721950027,0.5909710455129595,18.812197462699736,22,6.60109573397584,100,6.4445841407819096,0.0032895130834042683,1.4904215613985259,COMPLETE
125,125,0.9096053614503467,2024-08-31 12:14:11.978392,2024-08-31 12:33:51.580613,0 days 00:19:39.602221,0.2202281019767378,0.32281846300280326,19.847976831444825,19,0.6423324234887792,100,12.048335524443917,0.00985454178855358,1.772543149230588,COMPLETE
